id,spaceCode,spaceName,floor
1517,4D331,289,4
1515,4D329,290,4
1513,4D327,291,4
1511,4D325,292,4
1475,4D288,293,4
1473,4D286,294,4
1471,4D284,295,4
1520,4D334,296,4
1518,4D332,297,4
1516,4D330,298,4
1514,4D328,299,4
1512,4D326,300,4
1478,4D291,301,4
1477,4D290,302,4
1476,4D289,303,4
1525,4D339,304,4
1523,4D337,305,4
1521,4D335,306,4
1479,4D292,307,4
1526,4D340,308,4
1524,4D338,309,4
1522,4D336,310,4
1480,4D293,311,4
1485,4D298,312,4
1483,4D296,313,4
1481,4D294,314,4
1535,4D349,315,4
1533,4D347,316,4
1531,4D345,317,4
1529,4D343,318,4
1527,4D341,319,4
1536,4D350,320,4
1534,4D348,321,4
1532,4D346,322,4
1530,4D344,323,4
1528,4D342,324,4
1486,4D299,325,4
1484,4D297,326,4
1482,4D295,327,4
1491,4D304,328,4
1489,4D302,329,4
1487,4D300,330,4
1541,4D355,331,4
1539,4D353,332,4
1537,4D351,333,4
1492,4D305,334,4
1490,4D303,335,4
1488,4D301,336,4
1542,4D356,337,4
1540,4D354,338,4
1538,4D352,339,4
1500,4D313,340,4
1499,4D312,341,4
1498,4D311,342,4
1497,4D310,343,4
1496,4D309,344,4
1495,4D308,345,4
1494,4D307,346,4
1493,4D306,347,4
1341,4F372,348,4
1339,4F370,349,4
1337,4F368,350,4
1342,4F373,351,4
1340,4F371,352,4
1338,4F369,353,4
1347,4F378,354,4
1345,4F376,355,4
1343,4F374,356,4
1348,4F379,357,4
1346,4F377,358,4
1344,4F375,359,4
1353,4F384,360,4
1351,4F382,361,4
1349,4F380,362,4
1354,4F385,363,4
1352,4F383,364,4
1350,4F381,365,4
1357,4F388,366,4
1356,4F387,367,4
1355,4F386,368,4
1358,4F390,369,4
1360,4F392,370,4
1362,4F394,371,4
1364,4F396,372,4
1366,4F398,373,4
1368,4F400,374,4
1369,4F401,375,4
1367,4F399,376,4
1365,4F397,377,4
1363,4F395,378,4
1361,4F393,379,4
1359,4F391,380,4
1370,4F402,381,4
1372,4F404,382,4
1374,4F406,383,4
1376,4F408,384,4
1378,4F410,385,4
1380,4F412,386,4
1381,4F413,387,4
1379,4F411,388,4
1377,4F409,389,4
1375,4F407,390,4
1373,4F405,391,4
1371,4F403,392,4
1382,4F414,393,4
1384,4F416,394,4
1386,4F418,395,4
1388,4F420,396,4
1390,4F422,397,4
1392,4F424,398,4
1393,4F425,399,4
1391,4F423,400,4
